playerID,yearID,playerStint,teamID,league,numberOfGames,numberOfGamesAsBatter,AtBatting,runs,hits,doules,tripples,homeRuns,runsBattedIn,stolenBases,caughtStealing,baseOnBalls,strikeouts,intentionalWalks,hitsByPitch,sacrificeHits,sacrificeFlies,groundedIntoDoublePlays,G_old,playerName
lindbem01,1960,1,DET,AL,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Emerit Desmond
lindbpa01,1968,1,OAK,AL,47,47,8,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,47,Paul Aaron
lindbpa01,1969,1,OAK,AL,60,60,12,2,4,0,0,0,2,0,0,1,2,0,0,0,1,0,60,Paul Aaron
lindbpa01,1970,1,OAK,AL,62,62,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,62,Paul Aaron
lindbpa01,1971,1,OAK,AL,8,8,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,Paul Aaron
lindbpa01,1973,1,OAK,AL,36,0,,,,,,,,,,,,,,,,,36,Paul Aaron
lindbpa01,1974,1,OAK,AL,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Paul Aaron
lindbpa01,1975,1,OAK,AL,68,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,Paul Aaron
lindbpa01,1976,1,OAK,AL,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,Paul Aaron
lindbpa01,1978,2,NYA,AL,7,0,,,,,,,,,,,,,,,,,7,Paul Aaron
lindeji01,1990,1,DET,AL,12,12,32,5,7,1,0,2,8,0,0,2,13,0,0,0,0,0,12,James William
lindejo01,1941,1,NYA,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,1,John Harlan
lindejo01,1942,1,NYA,AL,27,27,24,1,6,1,0,0,4,0,0,0,5,,0,0,,0,27,John Harlan
lindejo01,1943,1,NYA,AL,122,122,441,53,108,17,12,4,51,2,5,51,55,,4,4,,14,122,John Harlan
lindejo01,1944,1,NYA,AL,149,149,594,91,178,33,16,18,103,5,4,44,56,,3,5,,16,149,John Harlan
lindejo01,1945,1,NYA,AL,41,41,159,26,45,6,3,1,20,2,1,17,10,,3,2,,4,41,John Harlan
lindejo01,1946,1,NYA,AL,102,102,332,41,86,10,5,10,40,4,1,32,47,,2,3,,13,102,John Harlan
lindejo01,1947,1,NYA,AL,127,127,476,66,131,18,7,11,67,1,2,32,70,,1,4,,15,127,John Harlan
lindejo01,1948,1,NYA,AL,88,88,309,58,98,17,2,13,55,0,0,35,50,,0,1,,8,88,John Harlan
lindejo01,1949,1,NYA,AL,78,78,211,33,51,10,0,6,27,3,0,35,27,,0,0,,9,78,John Harlan
lindejo01,1950,1,NYA,AL,7,7,21,2,4,0,0,0,2,0,0,4,2,,0,0,,1,7,John Harlan
lindjo01,1995,2,CAL,AL,15,15,43,5,7,2,0,0,1,0,0,3,4,0,0,0,0,3,15,Jose
lindsch01,1905,1,DET,AL,88,88,329,38,88,14,1,0,31,10,,18,,,5,10,,,88,Christian Haller
lindsch01,1906,1,DET,AL,141,141,499,59,112,16,2,0,33,18,,45,,,3,25,,,141,Christian Haller
lindsfr01,1924,1,NY1,NL,52,52,79,19,20,3,1,0,4,3,1,6,10,,1,2,,,52,Frederick Charles
lindsfr01,1925,1,NY1,NL,104,104,356,43,102,15,12,4,33,5,9,22,20,,2,5,,,104,Frederick Charles
lindsfr01,1926,1,NY1,NL,140,140,543,90,164,19,9,9,76,11,,39,21,,2,28,,,140,Frederick Charles
lindsfr01,1927,1,NY1,NL,138,138,562,107,172,36,8,7,58,10,,40,40,,2,15,,,138,Frederick Charles
lindsfr01,1928,1,NY1,NL,153,153,646,99,231,39,9,14,107,15,,25,21,,2,14,,,153,Frederick Charles
lindsfr01,1929,1,NY1,NL,130,130,549,99,175,23,6,15,91,10,,30,28,,0,21,,,130,Frederick Charles
lindsfr01,1930,1,NY1,NL,148,148,609,127,231,39,7,22,106,15,,48,33,,0,14,,,148,Frederick Charles
lindsfr01,1931,1,NY1,NL,78,78,303,38,91,12,6,5,36,5,,26,12,,0,0,,,78,Frederick Charles
lindsfr01,1932,1,NY1,NL,144,144,595,83,161,26,5,15,92,6,,27,28,,1,3,,,144,Frederick Charles
lindsma01,2012,2,ARI,NL,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matthew Raymond
lindsro01,2000,1,DET,AL,11,11,3,6,1,1,0,0,0,2,1,0,1,0,1,1,0,0,11,Rodney Lee
linhaca01,1952,1,DET,AL,3,3,2,0,0,0,0,0,0,0,0,0,0,,0,0,,1,3,Carl James
lintodo01,1993,2,CAL,AL,19,0,,,,,,,,,,,,,,,,,19,Douglas Warren
lintzla01,1973,1,MON,NL,52,52,116,20,29,1,0,0,3,12,4,17,18,0,1,7,0,0,52,Larry
lintzla01,1974,1,MON,NL,113,113,319,60,76,10,1,0,20,50,7,44,50,0,2,23,0,2,113,Larry
lintzla01,1975,1,MON,NL,46,46,132,18,26,0,0,0,3,17,9,23,18,0,0,7,0,3,46,Larry
lintzla01,1976,1,OAK,AL,68,68,1,21,0,0,0,0,0,31,11,2,0,0,0,1,0,0,68,Larry
lintzla01,1977,1,OAK,AL,41,41,30,11,4,1,0,0,0,13,5,8,13,1,1,1,0,0,41,Larry
linzph01,1962,1,NYA,AL,71,71,129,28,37,8,0,1,14,6,2,6,17,2,0,0,1,2,71,Philip Francis
linzph01,1963,1,NYA,AL,72,72,186,22,50,9,0,2,12,1,6,15,18,0,2,5,1,6,72,Philip Francis
linzph01,1964,1,NYA,AL,112,112,368,63,92,21,3,5,25,3,4,43,61,2,2,4,0,8,112,Philip Francis
linzph01,1965,1,NYA,AL,99,99,285,37,59,12,1,2,16,2,1,30,33,1,0,7,2,4,99,Philip Francis
liponjo01,1942,1,DET,AL,34,34,131,5,25,2,0,0,9,1,3,7,7,,0,2,,1,34,John Joseph
liponjo01,1946,1,DET,AL,14,14,20,4,6,0,0,0,1,0,0,5,3,,0,0,,0,14,John Joseph
liponjo01,1948,1,DET,AL,121,121,458,65,133,18,8,5,52,4,4,68,22,,2,13,,9,121,John Joseph
liponjo01,1949,1,DET,AL,127,127,439,57,110,14,6,3,59,2,4,75,24,,2,9,,16,127,John Joseph
liponjo01,1950,1,DET,AL,147,147,601,104,176,27,6,2,63,9,6,81,26,,1,18,,20,147,John Joseph
liponjo01,1951,1,DET,AL,129,129,487,56,129,15,1,0,38,7,6,49,27,,2,11,,7,129,John Joseph
liponjo01,1952,1,DET,AL,39,39,136,17,30,4,2,0,12,3,1,16,6,,0,2,,3,39,John Joseph
lirafe01,1995,1,DET,AL,37,0,,,,,,,,,,,,,,,,,37,Antonio Felipe
lirafe01,1996,1,DET,AL,32,0,,,,,,,,,,,,,,,,,32,Antonio Felipe
lirafe01,1997,1,DET,AL,20,0,,,,,,,,,,,,,,,,,20,Antonio Felipe
lirafe01,1997,2,SEA,AL,8,0,,,,,,,,,,,,,,,,,8,Antonio Felipe
lirafe01,1998,1,SEA,AL,7,0,,,,,,,,,,,,,,,,,7,Antonio Felipe
lirafe01,1999,1,DET,AL,2,0,,,,,,,,,,,,,,,,,2,Antonio Felipe
lirafe01,2000,1,MON,NL,54,50,19,3,4,0,0,2,3,0,0,0,13,0,0,1,1,0,50,Antonio Felipe
lirafe01,2001,1,MON,NL,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Antonio Felipe
lisjo01,1977,1,SEA,AL,9,9,13,1,3,0,0,0,1,0,0,1,2,0,0,0,0,3,9,Joseph Anthony
littlbr01,1982,1,MON,NL,29,29,42,6,9,0,0,0,3,2,1,4,6,0,0,0,1,1,29,Richard Bryan
littlbr01,1983,1,MON,NL,106,106,350,48,91,15,3,1,36,4,5,50,22,1,2,5,4,10,106,Richard Bryan
littlbr01,1984,1,MON,NL,85,85,266,31,65,11,1,0,9,2,3,34,19,0,1,8,0,3,85,Richard Bryan
littlbr01,1986,2,NYA,AL,14,14,41,3,8,1,0,0,0,0,0,2,7,0,0,0,0,1,14,Richard Bryan
littldi01,1952,1,DET,AL,28,28,7,1,1,0,0,0,0,0,0,0,2,,0,0,,0,28,Richard Bernard
littldi01,1956,3,NY1,NL,31,31,24,0,2,0,0,0,2,0,0,1,9,0,0,1,0,0,31,Richard Bernard
littlha01,1877,2,LS1,NL,1,1,3,0,0,0,0,0,0,,,1,1,,,,,,1,Henry Alexander
littlja01,1912,1,NYA,AL,3,3,12,2,3,0,0,0,0,2,,1,,,1,0,,,3,William Arthur
littlma01,2002,3,ARI,NL,15,15,22,8,6,0,1,0,2,0,0,2,5,0,4,0,0,0,15,Mark Travis
littogr01,1993,1,SEA,AL,72,72,174,25,52,17,0,3,25,0,1,18,30,2,1,5,1,6,72,Jon Gregory
livelja01,1911,1,DET,AL,20,20,43,6,11,2,1,0,4,0,,4,,,1,0,,,20,Henry Everett
livinbo01,2006,1,SEA,AL,3,0,,,,,,,,,,,,,,,,,3,Robert James
livinja01,1901,1,NY1,NL,2,2,6,1,1,1,0,0,0,0,,0,,,0,0,,,2,Jacob Mayer
livinmi01,1947,2,NY1,NL,5,5,6,0,1,0,0,0,0,0,,1,2,,0,0,,0,5,Thompson Orville
livinmi01,1948,1,NY1,NL,45,45,99,9,21,4,1,2,12,1,,21,11,,0,2,,3,45,Thompson Orville
livinmi01,1949,1,NY1,NL,19,19,57,6,17,2,0,4,12,0,,2,8,,1,0,,2,19,Thompson Orville
livinsc01,1991,1,DET,AL,44,44,127,19,37,5,0,2,11,2,1,10,25,0,0,1,1,0,44,Scott Louis
livinsc01,1992,1,DET,AL,117,117,354,43,100,21,0,4,46,1,3,21,36,1,0,3,4,8,117,Scott Louis
livinsc01,1993,1,DET,AL,98,98,304,39,89,10,2,2,39,1,3,19,32,1,0,1,6,4,98,Scott Louis
livinsc01,1994,1,DET,AL,15,15,23,0,5,1,0,0,1,0,0,1,4,0,0,0,0,0,15,Scott Louis
livinsc01,1998,1,MON,NL,76,76,110,1,23,6,0,0,12,1,1,5,15,2,0,0,3,2,76,Scott Louis
llenawi01,1968,1,CAL,AL,16,16,39,5,5,1,0,0,1,0,0,2,5,0,1,0,0,1,16,Winston Enriquillo
llenawi01,1969,1,CAL,AL,34,34,47,4,8,2,0,0,0,0,0,2,10,0,0,0,0,1,34,Winston Enriquillo
llenawi01,1972,1,CAL,AL,44,44,64,3,17,3,0,0,7,0,0,3,8,0,0,0,2,4,44,Winston Enriquillo
llenawi01,1973,1,CAL,AL,78,78,130,16,35,1,0,1,25,0,0,10,16,0,1,2,4,4,78,Winston Enriquillo
llenawi01,1974,1,CAL,AL,72,72,138,16,36,6,0,2,17,0,0,11,19,1,0,1,7,4,72,Winston Enriquillo
llenawi01,1975,1,CAL,AL,56,56,113,6,21,4,0,0,11,0,1,10,11,0,0,4,1,6,56,Winston Enriquillo
llewecl01,1922,1,NYA,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Clement Manly
lloydgr01,1996,2,NYA,AL,13,0,,,,,,,,,,,,,,,,,13,Graeme John
lloydgr01,1997,1,NYA,AL,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,Graeme John
lloydgr01,1998,1,NYA,AL,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Graeme John
lloydgr01,2001,1,MON,NL,84,79,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79,Graeme John
