playerID,yearID,playerStint,teamID,league,numberOfGames,numberOfGamesAsBatter,AtBatting,runs,hits,doules,tripples,homeRuns,runsBattedIn,stolenBases,caughtStealing,baseOnBalls,strikeouts,intentionalWalks,hitsByPitch,sacrificeHits,sacrificeFlies,groundedIntoDoublePlays,G_old,playerName
aardsda01,2004,1,SFN,NL,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,David Allan
aardsda01,2007,1,CHA,AL,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,David Allan
aasedo01,1985,1,BAL,AL,54,0,,,,,,,,,,,,,,,,,54,Donald William
aasedo01,1986,1,BAL,AL,66,0,,,,,,,,,,,,,,,,,66,Donald William
aasedo01,1987,1,BAL,AL,7,0,,,,,,,,,,,,,,,,,7,Donald William
aasedo01,1988,1,BAL,AL,35,0,,,,,,,,,,,,,,,,,35,Donald William
aasedo01,1989,1,NYN,NL,49,49,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,49,Donald William
abadijo01,1875,2,BR2,NA,1,1,4,1,1,0,0,0,1,0,0,0,0,,,,,,1,John W.
abbeybe01,1895,2,BRO,NL,8,8,19,4,5,0,1,0,1,0,,2,4,,0,0,,,8,Bert Wood
abbeybe01,1896,1,BRO,NL,25,25,63,7,12,1,2,0,7,0,,6,13,,0,4,,,25,Bert Wood
abbotda01,1890,1,TL2,AA,3,3,7,0,1,0,1,0,1,1,,0,,,0,,,,3,Leander Franklin
abbotfr01,1903,1,CLE,AL,77,77,255,25,60,11,3,1,25,8,,7,,,5,9,,,77,Harry Frederick
abbotfr01,1904,1,CLE,AL,41,41,130,14,22,4,2,0,12,2,,6,,,0,5,,,41,Harry Frederick
abbotje01,1997,1,CHA,AL,19,19,38,8,10,1,0,1,2,0,0,0,6,0,0,0,0,3,19,Jeffrey William
abbotje01,1998,1,CHA,AL,89,89,244,33,68,14,1,12,41,3,3,9,28,1,0,2,5,2,89,Jeffrey William
abbotje01,1999,1,CHA,AL,17,17,57,5,9,0,0,2,6,1,1,5,12,0,0,1,1,4,17,Jeffrey William
abbotje01,2000,1,CHA,AL,80,80,215,31,59,15,1,3,29,2,1,21,38,1,2,2,1,2,80,Jeffrey William
abbotji01,1995,1,CHA,AL,17,0,,,,,,,,,,,,,,,,,17,James Anthony
abbotji01,1998,1,CHA,AL,5,0,,,,,,,,,,,,,,,,,5,James Anthony
abbotji01,1999,1,MIL,NL,20,18,21,0,2,0,0,0,3,0,0,0,10,0,0,3,0,1,18,James Anthony
