userUUID,audienceUUID
user-5,audience-0
user-10,audience-0
user-11,audience-0
user-12,audience-0
user-16,audience-0
user-18,audience-0
user-19,audience-0
user-25,audience-0
user-26,audience-0
user-32,audience-0
user-41,audience-0
user-43,audience-0
user-45,audience-0
user-52,audience-0
user-53,audience-0
user-54,audience-0
user-56,audience-0
user-71,audience-0
user-72,audience-0
user-78,audience-0
user-83,audience-0
user-89,audience-0
user-90,audience-0
user-91,audience-0
user-95,audience-0
user-98,audience-0
user-100,audience-1
user-101,audience-1
user-103,audience-1
user-108,audience-1
user-110,audience-1
user-120,audience-1
user-131,audience-1
user-134,audience-1
user-146,audience-1
user-160,audience-1
user-161,audience-1
user-162,audience-1
user-166,audience-1
user-172,audience-1
user-185,audience-1
user-186,audience-1
user-189,audience-1
user-196,audience-1
user-210,audience-2
user-215,audience-2
user-216,audience-2
user-217,audience-2
user-218,audience-2
user-224,audience-2
user-225,audience-2
user-226,audience-2
user-227,audience-2
user-228,audience-2
user-229,audience-2
user-234,audience-2
user-235,audience-2
user-236,audience-2
user-240,audience-2
user-248,audience-2
user-250,audience-2
user-254,audience-2
user-255,audience-2
user-260,audience-2
user-261,audience-2
user-271,audience-2
user-279,audience-2
user-281,audience-2
user-284,audience-2
user-285,audience-2
user-286,audience-2
user-291,audience-2
user-295,audience-2
user-298,audience-2
user-301,audience-3
user-303,audience-3
user-313,audience-3
user-316,audience-3
user-317,audience-3
user-319,audience-3
user-323,audience-3
user-324,audience-3
user-327,audience-3
user-335,audience-3
user-344,audience-3
user-345,audience-3
user-346,audience-3
user-350,audience-3
user-354,audience-3
user-362,audience-3
user-365,audience-3
user-372,audience-3
user-374,audience-3
user-377,audience-3
user-380,audience-3
user-381,audience-3
user-389,audience-3
user-393,audience-3
user-395,audience-3
user-398,audience-3
user-401,audience-4
user-409,audience-4
user-410,audience-4
user-416,audience-4
user-418,audience-4
user-421,audience-4
user-422,audience-4
user-427,audience-4
user-429,audience-4
user-453,audience-4
user-454,audience-4
user-456,audience-4
user-459,audience-4
user-461,audience-4
user-462,audience-4
user-465,audience-4
user-466,audience-4
user-469,audience-4
user-477,audience-4
user-482,audience-4
user-492,audience-4
user-494,audience-4
user-497,audience-4
user-499,audience-4
