userUUID,audienceUUID
user-1,audience-0
user-2,audience-0
user-7,audience-0
user-15,audience-0
user-17,audience-0
user-21,audience-0
user-23,audience-0
user-33,audience-0
user-38,audience-0
user-39,audience-0
user-42,audience-0
user-44,audience-0
user-48,audience-0
user-57,audience-0
user-58,audience-0
user-59,audience-0
user-62,audience-0
user-67,audience-0
user-68,audience-0
user-69,audience-0
user-74,audience-0
user-75,audience-0
user-85,audience-0
user-88,audience-0
user-94,audience-0
user-96,audience-0
user-97,audience-0
user-105,audience-1
user-106,audience-1
user-107,audience-1
user-113,audience-1
user-117,audience-1
user-118,audience-1
user-121,audience-1
user-123,audience-1
user-126,audience-1
user-128,audience-1
user-129,audience-1
user-132,audience-1
user-135,audience-1
user-138,audience-1
user-148,audience-1
user-149,audience-1
user-150,audience-1
user-153,audience-1
user-157,audience-1
user-159,audience-1
user-164,audience-1
user-178,audience-1
user-179,audience-1
user-182,audience-1
user-190,audience-1
user-198,audience-1
user-200,audience-2
user-201,audience-2
user-202,audience-2
user-208,audience-2
user-211,audience-2
user-212,audience-2
user-214,audience-2
user-222,audience-2
user-231,audience-2
user-233,audience-2
user-237,audience-2
user-243,audience-2
user-245,audience-2
user-251,audience-2
user-257,audience-2
user-258,audience-2
user-265,audience-2
user-270,audience-2
user-272,audience-2
user-276,audience-2
user-280,audience-2
user-282,audience-2
user-283,audience-2
user-288,audience-2
user-292,audience-2
user-307,audience-3
user-308,audience-3
user-312,audience-3
user-328,audience-3
user-329,audience-3
user-330,audience-3
user-333,audience-3
user-349,audience-3
user-353,audience-3
user-355,audience-3
user-358,audience-3
user-360,audience-3
user-363,audience-3
user-366,audience-3
user-375,audience-3
user-378,audience-3
user-384,audience-3
user-386,audience-3
user-388,audience-3
user-397,audience-3
user-402,audience-4
user-403,audience-4
user-405,audience-4
user-408,audience-4
user-412,audience-4
user-413,audience-4
user-431,audience-4
user-435,audience-4
user-436,audience-4
user-437,audience-4
user-438,audience-4
user-442,audience-4
user-445,audience-4
user-452,audience-4
user-464,audience-4
user-467,audience-4
user-474,audience-4
user-475,audience-4
user-476,audience-4
user-478,audience-4
user-479,audience-4
user-480,audience-4
user-483,audience-4
user-486,audience-4
user-487,audience-4
user-488,audience-4
user-490,audience-4
user-491,audience-4
user-501,audience-5
user-502,audience-5
user-503,audience-5
user-510,audience-5
user-514,audience-5
user-519,audience-5
user-521,audience-5
user-525,audience-5
user-526,audience-5
user-527,audience-5
user-528,audience-5
user-546,audience-5
user-550,audience-5
user-554,audience-5
user-558,audience-5
user-559,audience-5
user-560,audience-5
user-562,audience-5
user-570,audience-5
user-571,audience-5
user-580,audience-5
user-581,audience-5
user-583,audience-5
user-590,audience-5
user-601,audience-6
user-606,audience-6
user-624,audience-6
user-625,audience-6
user-626,audience-6
user-631,audience-6
user-636,audience-6
user-637,audience-6
user-647,audience-6
user-648,audience-6
user-654,audience-6
user-662,audience-6
user-664,audience-6
user-670,audience-6
user-672,audience-6
user-674,audience-6
user-675,audience-6
user-676,audience-6
user-687,audience-6
user-689,audience-6
user-697,audience-6
user-701,audience-7
user-705,audience-7
user-711,audience-7
